student_id,question_id,answer,correct_answer
S001,Q1,"The process of photosynthesis converts light energy into chemical energy stored in glucose molecules","The process of photosynthesis converts light energy into chemical energy stored in glucose molecules"
S002,Q1,"Photosynthesis is the process where plants convert light energy into chemical energy stored as glucose","The process of photosynthesis converts light energy into chemical energy stored in glucose molecules"
S003,Q1,"The processs of photosynthsis converts lite energy into chemcal energy stored in glucos molecules","The process of photosynthesis converts light energy into chemical energy stored in glucose molecules"
S004,Q1,"Plants use sunlight water and carbon dioxide to create food through a complex biochemical pathway","The process of photosynthesis converts light energy into chemical energy stored in glucose molecules"
S005,Q1,"The processs of photosynthsis converts lite energy into chemcal energy stored in glucos moleculs","The process of photosynthesis converts light energy into chemical energy stored in glucose molecules"
S006,Q1,"I dont know","The process of photosynthesis converts light energy into chemical energy stored in glucose molecules"
S001,Q2,"A binary search tree is a data structure where each node has at most two children and the left subtree contains values less than the parent","A binary search tree maintains sorted data with left children smaller and right children larger than the parent node"
S002,Q2,"Binary search tree is data structure where each node has at most two children the left subtree contains values less than parent node","A binary search tree maintains sorted data with left children smaller and right children larger than the parent node"
S003,Q2,"A linked list is a linear data structure where elements are stored in nodes connected by pointers","A binary search tree maintains sorted data with left children smaller and right children larger than the parent node"
S004,Q2,"A binary search tree is a data structure where each node has at most two children and left subtree has values less than the parent","A binary search tree maintains sorted data with left children smaller and right children larger than the parent node"
S005,Q2,"Trees are used in computer science for organizing hierarchical data efficiently","A binary search tree maintains sorted data with left children smaller and right children larger than the parent node"
S007,Q2,"A binary search tree is data structure where each node has at most two childs and the left subtree contains values less than the parent","A binary search tree maintains sorted data with left children smaller and right children larger than the parent node"
S001,Q3,"Mitosis results in two identical daughter cells with the same number of chromosomes as the parent cell","Mitosis produces two genetically identical daughter cells each with the same chromosome count as the parent"
S002,Q3,"Mitosis results in two identical daughter cells having same number of chromosomes as parent cell","Mitosis produces two genetically identical daughter cells each with the same chromosome count as the parent"
S003,Q3,"Mitosis results two identical daughter cells with same number chromosomes as the parent cell","Mitosis produces two genetically identical daughter cells each with the same chromosome count as the parent"
S004,Q3,"Cell division produces new cells for growth and repair in living organisms","Mitosis produces two genetically identical daughter cells each with the same chromosome count as the parent"
S005,Q3,"Meiosis produces four haploid cells that are genetically different from the parent cell","Mitosis produces two genetically identical daughter cells each with the same chromosome count as the parent"
S008,Q3,"ok","Mitosis produces two genetically identical daughter cells each with the same chromosome count as the parent"
S001,Q4,"The French Revolution began in 1789 and was caused by social inequality economic hardship and political corruption of the monarchy","The French Revolution of 1789 was driven by social inequality financial crisis and Enlightenment ideals challenging absolute monarchy"
S002,Q4,"French Revolution began in 1789 caused by social inequality economic hardship and political corruption of monarchy","The French Revolution of 1789 was driven by social inequality financial crisis and Enlightenment ideals challenging absolute monarchy"
S006,Q4,"French Revolution began 1789 was caused by social inequality economic hardship political corruption of the monarchy","The French Revolution of 1789 was driven by social inequality financial crisis and Enlightenment ideals challenging absolute monarchy"
S003,Q4,"The industrial revolution transformed manufacturing processes in the 18th century through mechanization","The French Revolution of 1789 was driven by social inequality financial crisis and Enlightenment ideals challenging absolute monarchy"
S004,Q4,"The French Revolution was a watershed moment in European history that changed the political landscape forever","The French Revolution of 1789 was driven by social inequality financial crisis and Enlightenment ideals challenging absolute monarchy"
